date,n1,n2,n3,n4,n5,n6,n7
2025-07-15,34714244143,4714244143,714244143,14244143,244143,4143,43
2025-07-11,451034364450,51034364450,1034364450,34364450,364450,4450,50
2025-07-08,781827384850,81827384850,1827384850,27384850,384850,4850,50
2025-07-04,6142331343542,142331343542,2331343542,31343542,343542,3542,42
2025-07-01,251426333536,51426333536,1426333536,26333536,333536,3536,36
2025-06-27,8121527314247,121527314247,1527314247,27314247,314247,4247,47
2025-06-24,12732454648,2732454648,732454648,32454648,454648,4648,48
2025-06-20,14172024424750,172024424750,2024424750,24424750,424750,4750,50
2025-06-17,2102536464850,102536464850,2536464850,36464850,464850,4850,50
2025-06-13,2283437404647,283437404647,3437404647,37404647,404647,4647,47
2025-06-10,592031374950,92031374950,2031374950,31374950,374950,4950,50
2025-06-06,2589242832,589242832,89242832,9242832,242832,2832,32
2025-06-03,6293940424448,293940424448,3940424448,40424448,424448,4448,48
2025-05-30,791824253148,91824253148,1824253148,24253148,253148,3148,48
2025-05-27,571118264146,71118264146,1118264146,18264146,264146,4146,46
2025-05-23,13192326363947,192326363947,2326363947,26363947,363947,3947,47
2025-05-20,371314202145,71314202145,1314202145,14202145,202145,2145,45
2025-05-16,20222531343746,222531343746,2531343746,31343746,343746,3746,46
2025-05-13,10111320244446,111320244446,1320244446,20244446,244446,4446,46
2025-05-09,6101617303848,101617303848,1617303848,17303848,303848,3848,48
