date,n1,n2,n3,n4,n5,n6,n7
2020-09-01,292930313537,92930313537,2930313537,30313537,313537,3537,37
2020-09-04,7182226354150,182226354150,2226354150,26354150,354150,4150,50
2020-09-08,6121927303244,121927303244,1927303244,27303244,303244,3244,44
2020-09-11,4151617354650,151617354650,1617354650,17354650,354650,4650,50
2020-09-15,15624272832,5624272832,624272832,24272832,272832,2832,32
2020-09-18,2112225324044,112225324044,2225324044,25324044,324044,4044,44
2020-09-22,893738404349,93738404349,3738404349,38404349,404349,4349,49
2020-09-25,17928384850,7928384850,928384850,28384850,384850,4850,50
2020-09-29,46915222428,6915222428,915222428,15222428,222428,2428,28
2020-10-02,7121626404549,121626404549,1626404549,26404549,404549,4549,49
2020-10-06,45919283444,5919283444,919283444,19283444,283444,3444,44
2020-10-09,461230323334,61230323334,1230323334,30323334,323334,3334,34
2020-10-13,3101319214549,101319214549,1319214549,19214549,214549,4549,49
2020-10-16,14810121741,4810121741,810121741,10121741,121741,1741,41
2020-10-20,8273044464750,273044464750,3044464750,44464750,464750,4750,50
2020-10-23,282021293437,82021293437,2021293437,21293437,293437,3437,37
2020-10-27,291129333944,91129333944,1129333944,29333944,333944,3944,44
2020-10-30,19202331374648,202331374648,2331374648,31374648,374648,4648,48
2020-11-03,571421263449,71421263449,1421263449,21263449,263449,3449,49
2020-11-06,791920263235,91920263235,1920263235,20263235,263235,3235,35
2020-11-10,461827283040,61827283040,1827283040,27283040,283040,3040,40
2020-11-13,34719444849,4719444849,719444849,19444849,444849,4849,49
2020-11-17,6182130313438,182130313438,2130313438,30313438,313438,3438,38
2020-11-20,11172933394042,172933394042,2933394042,33394042,394042,4042,42
2020-11-24,681327414647,81327414647,1327414647,27414647,414647,4647,47
2020-11-27,9153541424546,153541424546,3541424546,41424546,424546,4546,46
2020-12-01,14915182431,4915182431,915182431,15182431,182431,2431,31
2020-12-04,571423244647,71423244647,1423244647,23244647,244647,4647,47
2020-12-08,5131421363743,131421363743,1421363743,21363743,363743,3743,43
2020-12-11,9213033383946,213033383946,3033383946,33383946,383946,3946,46
